"ID","name","category","close_date","amount"
1269,"Archbishop Lyke School_OH_01058071","E-Rate Services",2025-10-28,3000
1269,"Archbishop Lyke School_OH_01058071","Managed Services",2025-10-28,22500.45
420,"BATAVIA Local Schools_OH_0046300","Managed Services",2025-05-23,196266.48
420,"BATAVIA Local Schools_OH_0046300","Protect",2025-04-25,9390
420,"BATAVIA Local Schools_OH_0046300","Shield",2025-02-03,1721.88
4407,"Banyan High School","E-Rate Services",2025-06-25,3000
4407,"Banyan High School","MS - Special Projects",2025-06-30,21625.95
4407,"Banyan High School","Managed Services",2025-06-30,22057
4407,"Banyan High School","Protect",2025-06-30,1807.5
4407,"Banyan High School","Shield",2025-10-30,1909.48
425,"Clearview Local Schools_OH_0048132","E-Rate Services",2025-05-02,3000
425,"Clearview Local Schools_OH_0048132","Learn21",2025-05-02,2156.03
425,"Clearview Local Schools_OH_0048132","Managed Services",2025-05-02,117180
425,"Clearview Local Schools_OH_0048132","Protect",2025-05-02,337.5
425,"Clearview Local Schools_OH_0048132","Shield",2024-08-07,1507.96
426,"Cleveland Central Catholic_OH_0053983","Shield",2024-07-01,500
4423,"Cleveland Metropolitan School District","Shield",2025-10-24,565.5
428,"Cliff Park High School_OH_0132795","E-Rate Services",2025-06-30,3000
428,"Cliff Park High School_OH_0132795","MS - Special Projects",2025-06-30,6733.98
428,"Cliff Park High School_OH_0132795","Managed Services",2025-07-02,27903
428,"Cliff Park High School_OH_0132795","Shield",2025-12-23,939.88
429,"Cloverleaf Local Schools_OH_0048488","Learn21",2025-05-23,3787.58
429,"Cloverleaf Local Schools_OH_0048488","MS - Special Projects",2024-11-27,24909.82
429,"Cloverleaf Local Schools_OH_0048488","Managed Services",2025-05-23,25000
429,"Cloverleaf Local Schools_OH_0048488","Protect",2025-05-27,13193.75
429,"Cloverleaf Local Schools_OH_0048488","Shield",2024-05-09,1108.7
431,"Columbia Local Schools_OH_0048140","E-Rate Services",2025-07-02,3000
431,"Columbia Local Schools_OH_0048140","Learn21",2025-03-28,1625.59
431,"Columbia Local Schools_OH_0048140","Managed Services",2025-05-23,88603.92
431,"Columbia Local Schools_OH_0048140","Protect",2025-06-18,6988
431,"Columbia Local Schools_OH_0048140","Shield",2025-07-02,543.75
4355,"Cypress High School","E-Rate Services",2025-06-30,3000
4355,"Cypress High School","Managed Services",2025-07-02,28710
4355,"Cypress High School","Shield",2025-12-23,3557.96
4426,"East Central Ohio ESC","Protect",2025-12-23,5000
434,"East Preparatory Academy_OH_0014147","E-Rate Services",2025-06-30,3000
434,"East Preparatory Academy_OH_0014147","Managed Services",2025-07-02,18570
434,"East Preparatory Academy_OH_0014147","Shield",2025-08-07,1098.5
4390,"Educational Service Center of Eastern Ohio","Protect",2025-07-15,2650
