"Client ID [updates only]","[required] Name","[required] Phone","Client UDF:29683098 NPS Rating Score","Client UDF:29683097 NPS Rating","Client UDF:29683100 NPS Annual Survey","Client UDF:29683101 NPS Reference?","Client UDF:29683102 NPS Number of Services","Client UDF:29683103 NPS Total Sales","Client UDF:29683104 NPS Average Survey Score","Client UDF:29683105 NPS Number of Surveys - 180 Days","Client UDF:29683106 NPS Overdue Meetings","Client UDF:29683108 NPS Customer Success","Classification","Client UDF:29683109 NPS SO Survey","Client UDF:29683110 NPS SO Survey Score"
1269,"Archbishop Lyke School_OH_01058071","216-991-9644",30,"Passive","No","Unknown",3,76738.44,5,2,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
4407,"Banyan High School","812-221-3209",50,"Passive","No","Unknown",5,196368.7,5,5,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
420,"BATAVIA Local Schools_OH_0046300","5137322343",30,"Passive","No","Unknown",3,601912.48,5,89,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
4421,"Blue Learning","512-787-7637",-100,"Detractor","No","Unknown",0,0,4.4,5,0,"Unknown","Red Flag - Executive Involvement","No",0
425,"Clearview Local Schools_OH_0048132","4402335412",100,"Promoter","Yes","Yes",5,755433.97,4.79,72,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",3
4423,"Cleveland Metropolitan School District","2168380000",-90,"Detractor","No","Unknown",1,565.5,0,0,0,"Unknown","Red Flag - Executive Involvement","No",0
428,"Cliff Park High School_OH_0132795","9373423006",40,"Passive","No","Unknown",4,179172.68,0,0,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
429,"Cloverleaf Local Schools_OH_0048488","3309482500",100,"Promoter","Yes","Yes",5,670648.58,4.98,770,1,"Yellow Flag - Relationship","Yellow Flag - Relationship","No",0
431,"Columbia Local Schools_OH_0048140","4402365008",125,"Promoter","Yes","Yes",5,331522.88,4.93,37,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",4
4355,"Cypress High School","567-307-4700",30,"Passive","No","Unknown",3,108447.41,5,1,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
4426,"East Central Ohio ESC","(330) 308-9939",-90,"Detractor","No","Unknown",1,5000,0,0,0,"Unknown","Red Flag - Executive Involvement","No",0
434,"East Preparatory Academy_OH_0014147","2165390595",30,"Passive","No","Unknown",3,79243.4,0,0,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
4390,"Educational Service Center of Eastern Ohio","(330) 533-8811",10,"Passive","No","Unknown",1,12603.76,0,0,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
4358,"Elyria Catholic High_OH","(440) 365-1821",-90,"Detractor","Yes","No",6,210098.02,4.97,129,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",1
435,"Emmanuel Christian Academy_OH_0120865","3308367182",50,"Passive","No","Unknown",5,120852.32,4,2,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
2394,"First Baptist Church - Medina_OH","440 4585185",20,"Passive","No","Unknown",2,18447.07,5,6,0,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
4368,"Franklinton Prep High School","(614) 653-7135",80,"Promoter","Yes","Yes",3,73672,5,1,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
4379,"Frederick Douglass High School - Euclid","(216) 273-3033",5,"Passive","No","Unknown",3,131994.57,5,1,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",2
4341,"Frederick Douglass_OH_012043","216-273-3033",5,"Passive","No","Unknown",3,52187.83,5,1,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","Yes",2
4397,"Great Oaks High School","(515) 207-5026",30,"Passive","No","Unknown",3,109013.72,4.9,5,1,"Green Flag - No Current Issues","Green Flag - No Current Issues","No",0
