ID,name,phone,web,at_classification,status,type,parent
1269,Archbishop Lyke School_OH_01058071,216-991-9644,archbishoplykeschool.org,Green Flag - No Current Issues,Yes,Customer,Partnership Schools
4407,Banyan High School,812-221-3209,banyanhigh.org,Green Flag - No Current Issues,Yes,Customer,Oakmont Education Group
420,BATAVIA Local Schools_OH_0046300,5137322343,bataviaschools.org,Green Flag - No Current Issues,Yes,Customer,
4421,Blue Learning,512-787-7637,bluelearning.com,,Yes,Customer,
425,Clearview Local Schools_OH_0048132,4402335412,clearviewschools.org,Green Flag - No Current Issues,Yes,Customer,
4423,Cleveland Metropolitan School District,2168380000,www.metroschools.org,,Yes,Customer,
428,Cliff Park High School_OH_0132795,9373423006,cliffparkhigh.org,Green Flag - No Current Issues,Yes,Customer,Oakmont Education Group
429,Cloverleaf Local Schools_OH_0048488,3309482500,cloverleaflocal.org,Yellow Flag - Key Stakeholder,Yes,Customer,
431,Columbia Local Schools_OH_0048140,4402365008,clsdraiders.org,Green Flag - No Current Issues,Yes,Customer,
4355,Cypress High School,567-307-4700,cypresshigh.org,Green Flag - No Current Issues,Yes,Customer,Oakmont Education Group
4426,East Central Ohio ESC,(330) 308-9939,ecoesc.org/,,Yes,Customer,
434,East Preparatory Academy_OH_0014147,2165390595,eastprep.org,Green Flag - No Current Issues,Yes,Customer,Oakmont Education Group
4390,Educational Service Center of Eastern Ohio,(330) 533-8811,esceasternohio.org,Green Flag - No Current Issues,Yes,Customer,
4358,Elyria Catholic High_OH,(440) 365-1821,elyriacatholic.com,Green Flag - No Current Issues,Yes,Customer,
435,Emmanuel Christian Academy_OH_0120865,3308367182,ecarams.org,Yellow Flag - Relationship,Yes,Customer,
2394,First Baptist Church - Medina_OH,440 4585185,firstmedina.org,Green Flag - No Current Issues,Yes,Customer,
4368,Franklinton Prep High School,(614) 653-7135,franklintonprephigh.org,Green Flag - No Current Issues,Yes,Customer,Oakmont Education Group
4379,Frederick Douglass High School - Euclid,(216) 273-3033,fdhigh.org,Green Flag - No Current Issues,Yes,Customer,Oakmont Education Group
4341,Frederick Douglass_OH_012043,216-273-3033,fdhigh.org,Green Flag - No Current Issues,Yes,Customer,Oakmont Education Group
4397,Great Oaks High School,(515) 207-5026,greatoakshigh.org,Green Flag - No Current Issues,Yes,Customer,Oakmont Education Group
4370,Hamilton Clermont Cooperative,513-931-7120,,Green Flag - No Current Issues,Yes,Customer,
2236,Heritage Christian School_OH,330 4528271,heritagechristianschool.org,Green Flag - No Current Issues,Yes,Customer,
4393,Highway Tabernacle Primary School,3307923000,highwaytab.church,Red Flag - Executive Involvement,Yes,Customer,
2406,Holy Family-Parma,4408427785,holyfamilyschoolparma.org,Green Flag - No Current Issues,Yes,Customer,
1247,Howland Local Schools_OH_050161,3308568200,howlandschools.com,Yellow Flag - Services Issue,Yes,Customer,
1252,Indian Valley Local Schools_OH_050286,7402544334,ivschools.org,Green Flag - No Current Issues,Yes,Customer,
3048,Keystone Local_OH_048165,4403555131,keystonelocalschools.org,Green Flag - No Current Issues,Yes,Customer,
3489,Liberty High School_OH_016849,9377017945,libertyhigh.org,Green Flag - No Current Issues,Yes,Customer,Oakmont Education Group
1198,Lowellville Local Schools_OH_048330,3305366318,lowellvilleschool.org,Green Flag - No Current Issues,Yes,Customer,
449,Marietta City Schools_OH_0044321,7403746500,mariettacsdoh.org,Green Flag - No Current Issues,Yes,Customer,
4386,Marshall High School - Hamilton Campus,(513) 318-7078,marshallhshamilton.org,Green Flag - No Current Issues,Yes,Customer,Oakmont Education Group
450,Marshall High School_OH_0132803,5133187078,marshallhs.org,Green Flag - No Current Issues,Yes,Customer,Oakmont Education Group
2287,Mayfair Christian School,330 8963184,mayfairchristianschool.org,Yellow Flag - Relationship,Yes,Customer,
682,Medina Christian Academy_OH_089979,(330) 725-3227,mcaschool.net,Green Flag - No Current Issues,Yes,Customer,
4349,Metro Catholic School,216-281-4044,metrocatholic.net,Green Flag - No Current Issues,Yes,Customer,Partnership Schools
452,Midview Local Schools_OH_0048173,4409263737,midviewk12.org,Green Flag - No Current Issues,Yes,Customer,
4411,Muskegon Lakeshore High School,231-720-3100,muskegonlakeshorehs.org,Green Flag - No Current Issues,Yes,Customer,Oakmont Education Group
460,New London Local Schools_OH_0047720,4199298433,newlondon.k12.oh.us,Green Flag - No Current Issues,Yes,Customer,
4391,New London Public Library,419-929-3981,newlondonpubliclibrary.org,Green Flag - No Current Issues,Yes,Customer,
461,New Philadelphia City Schools_OH_0044487,3303640600,npschools.org,Green Flag - No Current Issues,Yes,Customer,
422,Oakmont Education Group,330-476-4114,oakmontedu.org,Green Flag - No Current Issues,Yes,Customer,
4372,Old Brook - Parma Campus,330-576-5744,oldbrookhigh.org,Green Flag - No Current Issues,Yes,Customer,Oakmont Education Group
713,Old Brook High School_OH_012038,4403193370,oldbrookhigh.org,Green Flag - No Current Issues,Yes,Customer,Oakmont Education Group
4392,Old North Primary School,(330) 533-6848,none-onps.org,Red Flag - Executive Involvement,Yes,Customer,
467,Open Door Christian Schools_OH_0090274,4403226386,odcs.org,Green Flag - No Current Issues,Yes,Customer,
4400,Orchard Park Academy - Akron Campus,330-203-1907?,orchardparkhigh.org,Green Flag - No Current Issues,Yes,Customer,Oakmont Education Group
3488,Orchard Park Academy_OH_000000,440-340-3202,orchardparkacademy.org,Green Flag - No Current Issues,Yes,Customer,Oakmont Education Group
469,Our Lady Of Mount Carmel West_OH_0055855,(216) 281-7146,olmc-cleveland.org,Yellow Flag - Key Stakeholder,Yes,Customer,
2284,Our Lady Of The Elms High_OH,(330) 836-9384,theelms.org,Red Flag - Executive Involvement,Yes,Customer,
4402,Partnership Schools,000-000-0000,thepartnershipschools.org,Yellow Flag - Key Stakeholder,Yes,Customer,
863,Pellegrino Music_OH,330-498-8400,https://www.pellegrinomusic.com/,Red Flag - Executive Involvement,Yes,Customer,
823,Pleasant Local_OH_048421, (740) 389-4476,pleasantlocalschools.org,,Yes,Customer,
676,Plymouth Shiloh Local_OH_049460,4196874733,plymouthk12.org,Green Flag - No Current Issues,Yes,Customer,
2162,Ramah Christian Academy_OH_0068189,2165812626,ramahchristianacademy.org,Red Flag - Executive Involvement,Yes,Customer,
4351,Randall Park High School,216-243-5034,randallparkhigh.org,Green Flag - No Current Issues,Yes,Customer,Oakmont Education Group
714,Regent High School_OH_012036,2165120076,regenthigh.org,Green Flag - No Current Issues,Yes,Customer,Oakmont Education Group
4406,Ridgewood Local Schools,740.545.6454,ridgewood.k12.oh.us,Red Flag - Executive Involvement,Yes,Customer,
1173,Rocky River City Schools_OH_044701,4403566715,rrcs.org,Green Flag - No Current Issues,Yes,Customer,
4387,Saint Andrew Saint Elizabeth Ann Seton Catholic School,5135750119,saseasschool.org,Green Flag - No Current Issues,Yes,Customer,
476,Saint Barnabas_OH_0057455,3304677921,barnabasohio.org,Green Flag - No Current Issues,Yes,Customer,
2080,Saint Bernadette School,5137534744,stbernadetteamelia.org,Red Flag - Executive Involvement,Yes,Customer,
477,Saint Brendan_OH_0056697,4407778433,stbrendannortholmsted.org,Green Flag - No Current Issues,Yes,Customer,
1898,Saint Francis Elementary-Cleveland_OH,2163614858,stfranciscleveland.org,Green Flag - No Current Issues,Yes,Customer,Partnership Schools
4340,Saint John School_OH_053637,440-997-5531,sjheralds.org,Yellow Flag - Relationship,Yes,Customer,
2049,Saint Jude Elem_OH,4403661681,stjudejaguars.org,Green Flag - No Current Issues,Yes,Customer,
4337,Saint Leo the Great,216-661-2120,leothegreat.org,Red Flag - Executive Involvement,Yes,Customer,
483,Saint Martin de Porres High School_OH_0000476,2168811689,stmdphs.org,Green Flag - No Current Issues,Yes,Customer,
668,Saint Mary Elementary School-Chardon_OH_057224,4402857051,stmaryschoolchardon.org,Green Flag - No Current Issues,Yes,Customer,
486,Saint Stanislaus_OH_0056267,216-883-3307,saintstanislaus.us,Red Flag - Executive Involvement,Yes,Customer,
487,Saint Thomas Aquinas_OH_0056283,216-421-4668,stthomas-aquinas.com,Green Flag - No Current Issues,Yes,Customer,Partnership Schools
491,Seton Catholic_OH_0126599,3303424200,setoncatholicschool.org,Yellow Flag - Relationship,Yes,Customer,
494,Southeast Local Schools_OH_0049221,3306545841,sepirates.org,Yellow Flag - Relationship,Yes,Customer,
2393,St Francis Of Assisi Elem,(440) 442-7450,sfaschoolgm.org,Red Flag - Executive Involvement,Yes,Customer,
4396,Steel City High School,(440) 123-4567,steelcityhigh.org,Green Flag - No Current Issues,Yes,Customer,Oakmont Education Group
3176,SUPER Learning Center-Faith Christian_OH,3308994119,superlc.com,Red Flag - Executive Involvement,Yes,Customer,
3318,Towpath East_OH_0000000,2342006682,towpathtrailhigh.org,Green Flag - No Current Issues,Yes,Customer,Oakmont Education Group
496,Towpath Trail - Main _OH_0133868,2345420102,towpathtrailhigh.org,Green Flag - No Current Issues,Yes,Customer,Oakmont Education Group
4378,Towpath Trail High School - Barberton,(330) 203-1787,towpathtrailhigh.org,Green Flag - No Current Issues,Yes,Customer,Oakmont Education Group
1146,United Local Schools_OH_046458,3302231521,united.k12.oh.us,Green Flag - No Current Issues,Yes,Customer,
497,Urban Community School_OH_0062562,2169398330,urbancommunityschool.org,Yellow Flag - Services Issue,Yes,Customer,
4394,Urban Squash Cleveland,216-912-9690,urbansquashcleveland.org,Green Flag - No Current Issues,Yes,Customer,
2275,Valley Christian Schools,330-788-8088,vcsohio.org,Yellow Flag - Relationship,Yes,Customer,
499,Villa Angela-Saint Joseph_OH_0053660,(216) 481-8414,vasj.com,Green Flag - No Current Issues,Yes,Customer,
