Client ID,Name,autotaskVinsonProtectProjectId,Classification,Disaster Recovery Plan,IncidentResponsePlan,Phone,vinsonProtectProjectTasks
1269,Archbishop Lyke School_OH_01058071,,Green Flag - No Current Issues,,,216-991-9644,
4407,Banyan High School,4649,Green Flag - No Current Issues,,,812-221-3209,
420,BATAVIA Local Schools_OH_0046300,,Green Flag - No Current Issues,,,5137322343,
425,Clearview Local Schools_OH_0048132,,Green Flag - No Current Issues,,,4402335412,
428,Cliff Park High School_OH_0132795,,Green Flag - No Current Issues,,,9373423006,
429,Cloverleaf Local Schools_OH_0048488,,Yellow Flag - Relationship,,,3309482500,
431,Columbia Local Schools_OH_0048140,,Green Flag - No Current Issues,//ecc6b1f15c52c53200628b335a097b08.cdn.bubble.io/f1740672580026x680689958543640300/Copy%20of%20Columbia%20Disaster%20Recovery.docx.pdf,,4402365008,
4355,Cypress High School,,Green Flag - No Current Issues,,,567-307-4700,
434,East Preparatory Academy_OH_0014147,,Green Flag - No Current Issues,,,2165390595,
4358,Elyria Catholic High_OH,,Green Flag - No Current Issues,,,(440) 365-1821,
435,Emmanuel Christian Academy_OH_0120865,,Green Flag - No Current Issues,,,3308367182,
4390,Educational Service Center of Eastern Ohio,,Green Flag - No Current Issues,,//ecc6b1f15c52c53200628b335a097b08.cdn.bubble.io/f1746719397621x861133747185383700/ESCEO%20Incident%20Response%20Binder%20-%20V1.pdf,(330) 533-8811,
2394,First Baptist Church - Medina_OH,,Green Flag - No Current Issues,,,440 4585185,
4368,Franklinton Prep High School,,Green Flag - No Current Issues,,,(614) 653-7135,
4379,Frederick Douglass High School - Euclid,,Green Flag - No Current Issues,,,(216) 273-3033,
4341,Frederick Douglass_OH_012043,,Green Flag - No Current Issues,,,216-273-3033,
4397,Great Oaks High School,,Green Flag - No Current Issues,,,(515) 207-5026,
2236,Heritage Christian School_OH,,Green Flag - No Current Issues,,,330 4528271,
2406,Holy Family-Parma,,Green Flag - No Current Issues,,,4408427785,
1247,Howland Local Schools_OH_050161,4403,Yellow Flag - Services Issue,,,3308568200,
440,Huron City Schools_OH_0044131,,Red Flag - Executive Involvement,,,4194331234,
1252,Indian Valley Local Schools_OH_050286,,Green Flag - No Current Issues,,,7402544334,
3048,Keystone Local_OH_048165,4303,Green Flag - No Current Issues,,,4403555131,
3489,Liberty High School_OH_016849,,Green Flag - No Current Issues,,,9377017945,
1198,Lowellville Local Schools_OH_048330,,Green Flag - No Current Issues,,,3305366318,
449,Marietta City Schools_OH_0044321,,Green Flag - No Current Issues,,,7403746500,
4386,Marshall High School - Hamilton Campus,,Green Flag - No Current Issues,,,(513) 318-7078,
450,Marshall High School_OH_0132803,,Green Flag - No Current Issues,,,5133187078,
2287,Mayfair Christian School,,Green Flag - No Current Issues,,,330 8963184,
682,Medina Christian Academy_OH_089979,,Green Flag - No Current Issues,,,(330) 725-3227,
4349,Metro Catholic School,,Green Flag - No Current Issues,,,216-281-4044,
452,Midview Local Schools_OH_0048173,,Green Flag - No Current Issues,,,4409263737,
4411,Muskegon Covenant Academy,4653,Green Flag - No Current Issues,,,231-720-3100,
460,New London Local Schools_OH_0047720,,Green Flag - No Current Issues,,,4199298433,
4391,New London Public Library,,Green Flag - No Current Issues,,,419-929-3981,
461,New Philadelphia City Schools_OH_0044487,,Green Flag - No Current Issues,,,3303640600,
4398,Northeast Ohio Classical Academy,,Yellow Flag - Key Stakeholder,,,,
422,Oakmont Education Group,,Green Flag - No Current Issues,,,330-576-5744,
713,Old Brook High School_OH_012038,,Green Flag - No Current Issues,,,4403193370,
