ID,name,category,close_date,amount
1269,Archbishop Lyke School_OH_01058071,E-Rate Services,10/12/2022,2000
1269,Archbishop Lyke School_OH_01058071,Managed Services,3/14/2023,443.74
1269,Archbishop Lyke School_OH_01058071,Managed Services,7/10/2023,21009
1269,Archbishop Lyke School_OH_01058071,E-Rate Services,7/10/2023,3000
1269,Archbishop Lyke School_OH_01058071,Shield,10/11/2023,356.25
1269,Archbishop Lyke School_OH_01058071,Managed Services,10/18/2024,21429
1269,Archbishop Lyke School_OH_01058071,E-Rate Services,10/18/2024,3000
1269,Archbishop Lyke School_OH_01058071,Managed Services,10/28/2025,22500.45
1269,Archbishop Lyke School_OH_01058071,E-Rate Services,10/28/2025,3000
4407,Banyan High School,Shield,10/7/2025,1508
4407,Banyan High School,Shield,10/30/2025,1909.48
4407,Banyan High School,Shield,10/30/2025,565.5
4407,Banyan High School,Managed Services,6/30/2025,22057
4407,Banyan High School,MS - Special Projects,6/30/2025,21625.95
4407,Banyan High School,Shield,7/2/2025,38784.25
4407,Banyan High School,Shield,7/2/2025,105111.02
4407,Banyan High School,E-Rate Services,6/25/2025,3000
4407,Banyan High School,Protect,6/30/2025,1807.5
420,BATAVIA Local Schools_OH_0046300,Managed Services,6/6/2023,201079.68
420,BATAVIA Local Schools_OH_0046300,Managed Services,6/30/2023,190550
420,BATAVIA Local Schools_OH_0046300,Shield,8/7/2024,2723.19
420,BATAVIA Local Schools_OH_0046300,Shield,10/4/2024,181.25
420,BATAVIA Local Schools_OH_0046300,Protect,4/25/2025,9390
420,BATAVIA Local Schools_OH_0046300,Shield,2/3/2025,1721.88
420,BATAVIA Local Schools_OH_0046300,Managed Services,5/23/2025,196266.48
533,Clearview Durling Middle School_OH_0008896,Managed Services,1/17/2023,168.75
425,Clearview Local Schools_OH_0048132,Protect,2/21/2023,11000
425,Clearview Local Schools_OH_0048132,Managed Services,2/21/2023,381.24
425,Clearview Local Schools_OH_0048132,Managed Services,6/26/2023,127580.88
425,Clearview Local Schools_OH_0048132,Shield,10/6/2023,99998.53
425,Clearview Local Schools_OH_0048132,Shield,10/6/2023,99777.52
425,Clearview Local Schools_OH_0048132,Shield,10/6/2023,98883.9
425,Clearview Local Schools_OH_0048132,Shield,6/17/2024,29013.54
425,Clearview Local Schools_OH_0048132,Protect,12/14/2023,4165.36
425,Clearview Local Schools_OH_0048132,E-Rate Services,3/15/2024,9000
425,Clearview Local Schools_OH_0048132,Managed Services,8/7/2024,116019.75
425,Clearview Local Schools_OH_0048132,Protect,8/28/2024,11130
425,Clearview Local Schools_OH_0048132,Learn21,8/28/2024,2494.26
425,Clearview Local Schools_OH_0048132,E-Rate Services,8/28/2024,3000
425,Clearview Local Schools_OH_0048132,Shield,6/17/2024,6742.5
425,Clearview Local Schools_OH_0048132,Shield,8/7/2024,1507.96
425,Clearview Local Schools_OH_0048132,Protect,5/2/2025,337.5
425,Clearview Local Schools_OH_0048132,Managed Services,5/2/2025,117180
425,Clearview Local Schools_OH_0048132,Protect,5/2/2025,12065
425,Clearview Local Schools_OH_0048132,Learn21,5/2/2025,2156.03
425,Clearview Local Schools_OH_0048132,E-Rate Services,5/2/2025,3000
426,Cleveland Central Catholic_OH_0053983,Protect,8/1/2023,6155
426,Cleveland Central Catholic_OH_0053983,Shield,8/18/2023,1693.69
426,Cleveland Central Catholic_OH_0053983,Managed Services,9/11/2023,70197.36
426,Cleveland Central Catholic_OH_0053983,E-Rate Services,8/15/2023,0
426,Cleveland Central Catholic_OH_0053983,Shield,8/18/2023,19367.05
426,Cleveland Central Catholic_OH_0053983,Shield,8/18/2023,4426.55
426,Cleveland Central Catholic_OH_0053983,Shield,8/18/2023,13318.99
426,Cleveland Central Catholic_OH_0053983,Shield,8/18/2023,3909.91
426,Cleveland Central Catholic_OH_0053983,Shield,10/11/2023,337.5
426,Cleveland Central Catholic_OH_0053983,Shield,4/5/2024,568.74
426,Cleveland Central Catholic_OH_0053983,Shield,7/1/2024,500
4423,Cleveland Metropolitan School District,Shield,10/24/2025,565.5
428,Cliff Park High School_OH_0132795,Shield,9/24/2025,1391
428,Cliff Park High School_OH_0132795,Shield,12/23/2025,939.88
428,Cliff Park High School_OH_0132795,Managed Services,11/22/2022,1195.09
428,Cliff Park High School_OH_0132795,Managed Services,12/28/2022,281.24
428,Cliff Park High School_OH_0132795,Managed Services,1/17/2023,1195.09
428,Cliff Park High School_OH_0132795,Managed Services,7/12/2023,26559.36
428,Cliff Park High School_OH_0132795,E-Rate Services,6/23/2023,3000
428,Cliff Park High School_OH_0132795,Shield,12/5/2023,605.3
428,Cliff Park High School_OH_0132795,Shield,3/15/2024,3721.25
428,Cliff Park High School_OH_0132795,Shield,4/5/2024,0
428,Cliff Park High School_OH_0132795,Managed Services,6/21/2024,27356.26
