Client Name,Parent Client Name,Ticket Number,Complete Date,Survey Rating
Batavia Board Office_OH_0046300,BATAVIA Local Schools_OH_0046300,T20250729.0198,7/29/2025,
Batavia Board Office_OH_0046300,BATAVIA Local Schools_OH_0046300,T20250804.0086,8/4/2025,
Batavia Board Office_OH_0046300,BATAVIA Local Schools_OH_0046300,T20250805.0144,8/5/2025,
Batavia Board Office_OH_0046300,BATAVIA Local Schools_OH_0046300,T20251210.0127,12/10/2025,
Batavia Board Office_OH_0046300,BATAVIA Local Schools_OH_0046300,T20250818.0064,8/21/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250818.0092,8/18/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250818.0107,8/18/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250811.0088,8/11/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250811.0104,8/11/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250815.0098,8/20/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250815.0104,8/15/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250815.0117,8/15/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250815.0122,8/15/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250815.0124,8/15/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250815.0128,8/15/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250815.0130,9/3/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250718.0104,7/24/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251105.0245,11/6/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250728.0080,7/28/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250728.0106,7/28/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251216.0021,12/16/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250815.0200,8/15/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250815.0202,8/15/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250815.0203,8/15/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251029.0041,10/29/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251204.0095,12/4/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251204.0050,12/4/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250818.0165,8/18/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251105.0150,11/5/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251204.0128,12/4/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251205.0022,12/5/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250918.0212,9/18/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250918.0224,9/18/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250918.0227,9/18/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250918.0247,9/22/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250822.0305,8/22/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250822.0315,8/22/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250912.0287,9/15/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250910.0085,9/10/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250815.0285,8/18/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250815.0287,8/18/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251118.0060,11/18/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251205.0036,12/5/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250903.0220,9/3/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250915.0076,9/17/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250915.0078,9/15/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251202.0021,12/2/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251202.0022,12/2/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250915.0162,9/15/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251111.0132,11/11/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251111.0150,11/11/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251111.0151,11/17/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251209.0030,12/9/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251209.0065,12/9/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250811.0116,8/11/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250811.0123,8/11/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250811.0136,8/11/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250811.0155,8/11/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250811.0156,8/11/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250811.0159,8/11/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251112.0015,11/12/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251118.0097,11/18/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251106.0131,11/6/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251112.0124,11/13/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250827.0288,8/27/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250827.0290,8/27/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250827.0291,8/27/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250822.0344,8/22/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251107.0016,11/7/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251205.0151,12/5/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251205.0152,12/5/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250804.0080,8/4/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251020.0073,10/20/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250828.0183,8/28/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250828.0184,8/28/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250814.0197,8/14/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250814.0208,8/14/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250814.0247,8/14/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250814.0251,8/14/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250827.0321,8/29/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250814.0035,8/14/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250930.0065,9/30/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250811.0214,8/12/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250929.0057,9/29/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250929.0058,9/29/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250929.0073,9/29/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250910.0033,9/10/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251118.0182,11/18/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250804.0125,8/4/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250804.0138,8/4/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251017.0180,10/17/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251017.0181,10/17/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251017.0188,10/17/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251017.0195,10/20/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251017.0198,10/17/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251017.0203,10/17/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250814.0316,8/15/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250814.0317,8/15/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251208.0170,12/9/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251208.0202,12/9/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250807.0083,8/7/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251229.0018,12/29/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250804.0171,8/4/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250804.0175,8/8/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250804.0200,8/4/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250804.0201,8/4/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250828.0214,8/28/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250828.0241,8/28/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250828.0242,8/28/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250828.0252,8/28/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20250828.0253,8/28/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251119.0017,11/19/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251110.0081,11/10/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251030.0017,10/30/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251030.0027,10/30/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251216.0103,12/16/2025,5
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251216.0105,12/16/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251216.0190,12/17/2025,
Batavia Elementary School_OH_0001693,BATAVIA Local Schools_OH_0046300,T20251209.0002,12/9/2025,
